NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract,owner_occupied,renter_occupied,owner_share,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,total_vacant,vacant_for_rent,vacant_for_sale,GEOID
"Census Tract 55.01, Fulton County, Georgia",1223.0,713.0,9.0,71.0,62.0,72.0,184.0,17.0,83.0,13,121,5501,355.0,623.0,0.3629856850715746,978.0,187.0,64.0,7.0,76.0,36.0,37.0,245.0,48.0,21.0,5635
"Census Tract 57, Fulton County, Georgia",923.0,436.0,5.0,57.0,3.0,40.0,15.0,49.0,318.0,13,121,5700,101.0,556.0,0.1537290715372907,657.0,91.0,72.0,11.0,36.0,28.0,14.0,266.0,31.0,55.0,5834
"Census Tract 60, Fulton County, Georgia",1864.0,1169.0,52.0,80.0,113.0,314.0,120.0,16.0,0.0,13,121,6000,598.0,911.0,0.3962889330682571,1509.0,94.0,104.0,89.0,101.0,111.0,26.0,355.0,17.0,18.0,6134
"Census Tract 66.02, Fulton County, Georgia",617.0,303.0,9.0,99.0,64.0,73.0,53.0,16.0,0.0,13,121,6602,140.0,325.0,0.3010752688172043,465.0,79.0,71.0,53.0,17.0,17.0,0.0,152.0,19.0,0.0,6736
"Census Tract 507.09, Gwinnett County, Georgia",4650.0,4059.0,10.0,0.0,0.0,0.0,129.0,38.0,0.0,13,135,50709,3413.0,1043.0,0.7659335727109515,4456.0,195.0,214.0,203.0,620.0,512.0,295.0,194.0,36.0,34.0,50857
"Census Tract 503.14, Gwinnett County, Georgia",3649.0,1883.0,0.0,12.0,11.0,193.0,641.0,509.0,191.0,13,135,50314,1333.0,2144.0,0.3833764739718148,3477.0,102.0,229.0,204.0,611.0,184.0,122.0,172.0,34.0,72.0,50462
"Census Tract 503.15, Gwinnett County, Georgia",2599.0,655.0,200.0,58.0,403.0,402.0,551.0,177.0,153.0,13,135,50315,668.0,1768.0,0.2742200328407225,2436.0,75.0,155.0,177.0,347.0,220.0,172.0,163.0,117.0,0.0,50463
"Census Tract 504.15, Gwinnett County, Georgia",1545.0,1392.0,107.0,0.0,39.0,0.0,0.0,0.0,0.0,13,135,50415,1288.0,177.0,0.8791808873720136,1465.0,59.0,42.0,67.0,167.0,248.0,112.0,80.0,9.0,0.0,50563
"Census Tract 504.25, Gwinnett County, Georgia",1889.0,1825.0,0.0,29.0,0.0,0.0,0.0,0.0,15.0,13,135,50425,1679.0,131.0,0.9276243093922651,1810.0,36.0,59.0,64.0,200.0,205.0,166.0,79.0,31.0,0.0,50573
"Census Tract 504.29, Gwinnett County, Georgia",2418.0,2418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,135,50429,2056.0,234.0,0.8978165938864628,2290.0,29.0,107.0,48.0,234.0,375.0,151.0,128.0,42.0,0.0,50577
