NAME,total_vacant,vacant_for_rent,vacant_for_sale,state,county,tract
"Census Tract 52, Fulton County, Georgia",179.0,59.0,52.0,13,121,005200
"Census Tract 64, Fulton County, Georgia",85.0,12.0,0.0,13,121,006400
"Census Tract 72, Fulton County, Georgia",335.0,54.0,27.0,13,121,007200
"Census Tract 105.08, Fulton County, Georgia",270.0,63.0,57.0,13,121,010508
"Census Tract 4, Fulton County, Georgia",203.0,26.0,30.0,13,121,000400
"Census Tract 1, Fulton County, Georgia",56.0,0.0,16.0,13,121,000100
"Census Tract 6, Fulton County, Georgia",477.0,185.0,27.0,13,121,000600
"Census Tract 35, Fulton County, Georgia",107.0,39.0,0.0,13,121,003500
"Census Tract 41, Fulton County, Georgia",449.0,89.0,16.0,13,121,004100
"Census Tract 50, Fulton County, Georgia",185.0,117.0,43.0,13,121,005000
"Census Tract 55.02, Fulton County, Georgia",222.0,121.0,0.0,13,121,005502
"Census Tract 61, Fulton County, Georgia",350.0,21.0,21.0,13,121,006100
"Census Tract 63, Fulton County, Georgia",451.0,45.0,27.0,13,121,006300
"Census Tract 75, Fulton County, Georgia",479.0,147.0,0.0,13,121,007500
"Census Tract 78.07, Fulton County, Georgia",428.0,51.0,0.0,13,121,007807
"Census Tract 78.08, Fulton County, Georgia",539.0,269.0,0.0,13,121,007808
"Census Tract 81.02, Fulton County, Georgia",548.0,119.0,0.0,13,121,008102
"Census Tract 108, Fulton County, Georgia",600.0,84.0,42.0,13,121,010800
"Census Tract 114.05, Fulton County, Georgia",254.0,110.0,0.0,13,121,011405
"Census Tract 114.12, Fulton County, Georgia",202.0,51.0,56.0,13,121,011412
"Census Tract 110, Fulton County, Georgia",258.0,69.0,16.0,13,121,011000
"Census Tract 111, Fulton County, Georgia",258.0,0.0,48.0,13,121,011100
"Census Tract 21, Fulton County, Georgia",271.0,96.0,13.0,13,121,002100
"Census Tract 79, Fulton County, Georgia",184.0,45.0,0.0,13,121,007900
"Census Tract 112.01, Fulton County, Georgia",564.0,91.0,22.0,13,121,011201
"Census Tract 39, Fulton County, Georgia",267.0,59.0,0.0,13,121,003900
"Census Tract 102.10, Fulton County, Georgia",57.0,57.0,0.0,13,121,010210
"Census Tract 85, Fulton County, Georgia",600.0,16.0,16.0,13,121,008500
"Census Tract 89.02, Fulton County, Georgia",619.0,300.0,28.0,13,121,008902
"Census Tract 99, Fulton County, Georgia",197.0,0.0,14.0,13,121,009900
"Census Tract 101.06, Fulton County, Georgia",107.0,28.0,12.0,13,121,010106
"Census Tract 102.05, Fulton County, Georgia",104.0,0.0,82.0,13,121,010205
"Census Tract 102.08, Fulton County, Georgia",544.0,278.0,41.0,13,121,010208
"Census Tract 103.01, Fulton County, Georgia",413.0,223.0,0.0,13,121,010301
"Census Tract 105.07, Fulton County, Georgia",928.0,170.0,64.0,13,121,010507
"Census Tract 2, Fulton County, Georgia",110.0,0.0,0.0,13,121,000200
"Census Tract 19, Fulton County, Georgia",531.0,157.0,50.0,13,121,001900
"Census Tract 29, Fulton County, Georgia",321.0,30.0,47.0,13,121,002900
"Census Tract 30, Fulton County, Georgia",194.0,9.0,11.0,13,121,003000
"Census Tract 43, Fulton County, Georgia",45.0,39.0,0.0,13,121,004300
"Census Tract 58, Fulton County, Georgia",197.0,76.0,10.0,13,121,005800
"Census Tract 83.01, Fulton County, Georgia",694.0,38.0,0.0,13,121,008301
"Census Tract 73, Fulton County, Georgia",452.0,161.0,0.0,13,121,007300
"Census Tract 78.06, Fulton County, Georgia",169.0,83.0,0.0,13,121,007806
"Census Tract 80, Fulton County, Georgia",560.0,53.0,43.0,13,121,008000
"Census Tract 84, Fulton County, Georgia",841.0,102.0,0.0,13,121,008400
"Census Tract 86.02, Fulton County, Georgia",51.0,31.0,0.0,13,121,008602
"Census Tract 90, Fulton County, Georgia",88.0,36.0,0.0,13,121,009000
"Census Tract 93, Fulton County, Georgia",145.0,55.0,36.0,13,121,009300
"Census Tract 94.02, Fulton County, Georgia",291.0,120.0,0.0,13,121,009402
"Census Tract 101.07, Fulton County, Georgia",20.0,0.0,20.0,13,121,010107
"Census Tract 103.04, Fulton County, Georgia",501.0,52.0,270.0,13,121,010304
"Census Tract 106.03, Fulton County, Georgia",327.0,186.0,0.0,13,121,010603
