NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract
"Census Tract 310.02, Cobb County, Georgia",3630.0,1652.0,230.0,36.0,66.0,564.0,654.0,116.0,247.0,13,067,031002
"Census Tract 313.11, Cobb County, Georgia",4025.0,1764.0,350.0,15.0,162.0,1114.0,407.0,94.0,17.0,13,067,031311
"Census Tract 314.06, Cobb County, Georgia",3529.0,1122.0,398.0,40.0,397.0,295.0,604.0,401.0,272.0,13,067,031406
"Census Tract 303.19, Cobb County, Georgia",1770.0,1046.0,507.0,0.0,29.0,65.0,78.0,0.0,9.0,13,067,030319
"Census Tract 303.22, Cobb County, Georgia",1231.0,1209.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030322
"Census Tract 303.33, Cobb County, Georgia",2316.0,2316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030333
"Census Tract 314.04, Cobb County, Georgia",2417.0,2298.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,031404
"Census Tract 301.01, Cobb County, Georgia",2791.0,2582.0,104.0,11.0,17.0,0.0,0.0,0.0,0.0,13,067,030101
"Census Tract 302.14, Cobb County, Georgia",3048.0,2692.0,101.0,0.0,0.0,104.0,64.0,70.0,17.0,13,067,030214
"Census Tract 303.34, Cobb County, Georgia",1326.0,1231.0,77.0,0.0,0.0,18.0,0.0,0.0,0.0,13,067,030334
"Census Tract 303.24, Cobb County, Georgia",1284.0,1274.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030324
"Census Tract 303.31, Cobb County, Georgia",2032.0,1998.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,13,067,030331
"Census Tract 211.02, DeKalb County, Georgia",3534.0,1446.0,305.0,39.0,64.0,267.0,237.0,161.0,971.0,13,089,021102
"Census Tract 212.16, DeKalb County, Georgia",5054.0,850.0,47.0,20.0,9.0,36.0,396.0,1128.0,2568.0,13,089,021216
"Census Tract 211.01, DeKalb County, Georgia",1559.0,1443.0,0.0,7.0,0.0,29.0,4.0,13.0,55.0,13,089,021101
"Census Tract 212.15, DeKalb County, Georgia",2915.0,389.0,217.0,0.0,73.0,146.0,316.0,703.0,1060.0,13,089,021215
"Census Tract 212.17, DeKalb County, Georgia",1026.0,750.0,6.0,11.0,21.0,114.0,92.0,32.0,0.0,13,089,021217
"Census Tract 212.18, DeKalb County, Georgia",3789.0,205.0,505.0,0.0,30.0,329.0,385.0,635.0,1660.0,13,089,021218
"Census Tract 213.05, DeKalb County, Georgia",1693.0,621.0,102.0,0.0,58.0,331.0,434.0,129.0,18.0,13,089,021305
"Census Tract 202, DeKalb County, Georgia",1135.0,328.0,232.0,36.0,91.0,152.0,161.0,79.0,56.0,13,089,020200
"Census Tract 213.03, DeKalb County, Georgia",1814.0,854.0,160.0,18.0,141.0,331.0,181.0,97.0,20.0,13,089,021303
"Census Tract 214.05, DeKalb County, Georgia",2311.0,1441.0,193.0,29.0,47.0,122.0,55.0,88.0,336.0,13,089,021405
"Census Tract 204, DeKalb County, Georgia",1342.0,692.0,114.0,35.0,187.0,137.0,115.0,20.0,42.0,13,089,020400
"Census Tract 208.01, DeKalb County, Georgia",1175.0,1094.0,0.0,53.0,4.0,0.0,11.0,0.0,13.0,13,089,020801
"Census Tract 212.10, DeKalb County, Georgia",2093.0,2088.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,13,089,021210
"Census Tract 212.11, DeKalb County, Georgia",2081.0,1909.0,72.0,0.0,0.0,0.0,41.0,51.0,8.0,13,089,021211
"Census Tract 217.06, DeKalb County, Georgia",2771.0,1581.0,19.0,0.0,0.0,449.0,251.0,425.0,46.0,13,089,021706
