NAME,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,state,county,tract
"Census Tract 232.11, DeKalb County, Georgia",1379.0,54.0,72.0,88.0,96.0,121.0,61.0,13,089,023211
"Census Tract 233.09, DeKalb County, Georgia",3768.0,273.0,362.0,126.0,568.0,326.0,39.0,13,089,023309
"Census Tract 233.10, DeKalb County, Georgia",4101.0,302.0,379.0,170.0,383.0,146.0,45.0,13,089,023310
"Census Tract 234.14, DeKalb County, Georgia",2408.0,118.0,59.0,99.0,407.0,330.0,113.0,13,089,023414
"Census Tract 236.01, DeKalb County, Georgia",1171.0,57.0,22.0,6.0,198.0,106.0,104.0,13,089,023601
"Census Tract 218.09, DeKalb County, Georgia",2687.0,15.0,185.0,72.0,313.0,221.0,341.0,13,089,021809
"Census Tract 219.06, DeKalb County, Georgia",1875.0,122.0,130.0,137.0,255.0,152.0,8.0,13,089,021906
"Census Tract 220.05, DeKalb County, Georgia",1751.0,152.0,208.0,140.0,152.0,73.0,0.0,13,089,022005
"Census Tract 226, DeKalb County, Georgia",2970.0,135.0,124.0,48.0,405.0,190.0,573.0,13,089,022600
"Census Tract 231.07, DeKalb County, Georgia",1661.0,131.0,140.0,83.0,224.0,56.0,72.0,13,089,023107
"Census Tract 235.01, DeKalb County, Georgia",1290.0,86.0,39.0,60.0,60.0,67.0,0.0,13,089,023501
"Census Tract 236.03, DeKalb County, Georgia",1456.0,118.0,74.0,136.0,146.0,117.0,0.0,13,089,023603
"Census Tract 237, DeKalb County, Georgia",2451.0,373.0,101.0,38.0,181.0,100.0,84.0,13,089,023700
"Census Tract 238.01, DeKalb County, Georgia",1749.0,72.0,26.0,93.0,158.0,187.0,253.0,13,089,023801
"Census Tract 232.10, DeKalb County, Georgia",2694.0,235.0,296.0,82.0,212.0,178.0,0.0,13,089,023210
"Census Tract 232.13, DeKalb County, Georgia",2311.0,182.0,139.0,115.0,391.0,99.0,71.0,13,089,023213
"Census Tract 232.14, DeKalb County, Georgia",2396.0,180.0,117.0,265.0,360.0,151.0,0.0,13,089,023214
"Census Tract 231.15, DeKalb County, Georgia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,089,023115
"Census Tract 233.11, DeKalb County, Georgia",1546.0,30.0,55.0,49.0,273.0,192.0,81.0,13,089,023311
"Census Tract 233.12, DeKalb County, Georgia",3543.0,37.0,114.0,124.0,543.0,459.0,283.0,13,089,023312
"Census Tract 233.13, DeKalb County, Georgia",1647.0,35.0,56.0,151.0,235.0,107.0,56.0,13,089,023313
"Census Tract 233.14, DeKalb County, Georgia",2214.0,147.0,258.0,65.0,210.0,106.0,0.0,13,089,023314
"Census Tract 208.02, DeKalb County, Georgia",1736.0,189.0,28.0,89.0,168.0,108.0,271.0,13,089,020802
"Census Tract 217.03, DeKalb County, Georgia",1764.0,63.0,29.0,8.0,232.0,83.0,564.0,13,089,021703
"Census Tract 218.08, DeKalb County, Georgia",1634.0,72.0,109.0,63.0,214.0,235.0,116.0,13,089,021808
"Census Tract 219.08, DeKalb County, Georgia",2022.0,154.0,43.0,133.0,158.0,36.0,0.0,13,089,021908
"Census Tract 219.09, DeKalb County, Georgia",2694.0,375.0,201.0,258.0,98.0,70.0,50.0,13,089,021909
"Census Tract 212.02, DeKalb County, Georgia",3355.0,66.0,114.0,124.0,482.0,336.0,956.0,13,089,021202
"Census Tract 235.05, DeKalb County, Georgia",1093.0,81.0,91.0,10.0,52.0,112.0,25.0,13,089,023505
"Census Tract 224.03, DeKalb County, Georgia",1450.0,35.0,0.0,23.0,162.0,79.0,660.0,13,089,022403
"Census Tract 235.07, DeKalb County, Georgia",1522.0,143.0,34.0,137.0,261.0,83.0,6.0,13,089,023507
"Census Tract 238.03, DeKalb County, Georgia",2035.0,170.0,93.0,87.0,271.0,215.0,71.0,13,089,023803
"Census Tract 203, DeKalb County, Georgia",1675.0,88.0,19.0,78.0,173.0,115.0,511.0,13,089,020300
"Census Tract 206, DeKalb County, Georgia",963.0,138.0,22.0,39.0,124.0,74.0,117.0,13,089,020600
"Census Tract 216.04, DeKalb County, Georgia",1261.0,27.0,0.0,27.0,129.0,77.0,509.0,13,089,021604
"Census Tract 219.10, DeKalb County, Georgia",2199.0,191.0,227.0,64.0,288.0,124.0,51.0,13,089,021910
"Census Tract 219.12, DeKalb County, Georgia",1447.0,51.0,10.0,37.0,76.0,181.0,523.0,13,089,021912
"Census Tract 219.13, DeKalb County, Georgia",1977.0,221.0,269.0,94.0,147.0,25.0,37.0,13,089,021913
"Census Tract 220.09, DeKalb County, Georgia",1831.0,94.0,85.0,72.0,229.0,65.0,0.0,13,089,022009
"Census Tract 220.10, DeKalb County, Georgia",652.0,5.0,40.0,35.0,90.0,75.0,11.0,13,089,022010
"Census Tract 222.03, DeKalb County, Georgia",1170.0,53.0,50.0,19.0,197.0,102.0,84.0,13,089,022203
"Census Tract 222.04, DeKalb County, Georgia",2809.0,142.0,93.0,61.0,484.0,359.0,207.0,13,089,022204
"Census Tract 231.11, DeKalb County, Georgia",675.0,32.0,18.0,44.0,88.0,60.0,27.0,13,089,023111
"Census Tract 231.12, DeKalb County, Georgia",2072.0,385.0,72.0,135.0,124.0,26.0,5.0,13,089,023112
"Census Tract 231.13, DeKalb County, Georgia",1273.0,74.0,196.0,38.0,142.0,58.0,123.0,13,089,023113
"Census Tract 231.14, DeKalb County, Georgia",840.0,39.0,38.0,47.0,109.0,72.0,0.0,13,089,023114
"Census Tract 216.02, DeKalb County, Georgia",1858.0,18.0,45.0,87.0,250.0,147.0,280.0,13,089,021602
