activity_year,lei,county_code,census_tract,loan_type,loan_purpose,action_taken,occupancy_type,loan_amount,loan_to_value_ratio,property_value,income,debt_to_income_ratio,total_units,purchaser_type,applicant_credit_score_type,interest_rate,ltv_derived,lti_derived,is_first_lien_purchase,is_investor_occupied,downpayment_pct
2019,549300SVKVT1EF3U0N48,13067,13067030232.0,1,1,1,1,205000.0,50.0,405000.0,108.0,20%-<30%,1,1,3,3.25,50.0,1.8981481481481481,True,False,50.0
2019,549300SVKVT1EF3U0N48,13135,13135050610.0,1,1,1,1,235000.0,95.0,245000.0,81.0,20%-<30%,1,0,1,4.875,95.0,2.9012345679012346,True,False,5.0
2019,549300SVKVT1EF3U0N48,13121,13121011416.0,1,1,1,1,205000.0,69.085,285000.0,74.0,30%-<36%,1,72,3,4.625,69.085,2.77027027027027,True,False,30.915000000000006
2019,549300SVKVT1EF3U0N48,13067,13067030407.0,1,1,1,1,175000.0,87.805,205000.0,94.0,43,1,0,2,5.125,87.805,1.8617021276595744,True,False,12.194999999999993
2019,549300SVKVT1EF3U0N48,13067,13067031106.0,1,1,1,1,145000.0,80.0,185000.0,75.0,<20%,1,71,3,4.75,80.0,1.9333333333333333,True,False,20.0
2019,549300SVKVT1EF3U0N48,13135,13135050107.0,2,1,1,1,315000.0,96.5,325000.0,98.0,44,1,72,9,4.75,96.5,3.2142857142857144,True,False,3.5
2019,549300SVKVT1EF3U0N48,13135,13135050535.0,2,1,1,1,185000.0,96.5,185000.0,57.0,41,1,6,1,4.75,96.5,3.245614035087719,True,False,3.5
2019,549300SVKVT1EF3U0N48,13135,13135050212.0,1,1,1,1,345000.0,95.0,365000.0,108.0,49,1,72,2,4.5,95.0,3.1944444444444446,True,False,5.0
2019,549300SVKVT1EF3U0N48,13121,13121011305.0,3,1,1,1,115000.0,97.0,115000.0,30.0,42,1,72,1,4.75,97.0,3.8333333333333335,True,False,3.0
2019,549300SVKVT1EF3U0N48,13121,13121007900.0,3,1,1,1,365000.0,96.5,365000.0,94.0,36,1,72,1,4.875,96.5,3.882978723404255,True,False,3.5
2019,549300SVKVT1EF3U0N48,13151,13151070403.0,1,1,1,1,195000.0,90.0,215000.0,49.0,42,1,72,3,4.875,90.0,3.979591836734694,True,False,10.0
2019,549300SVKVT1EF3U0N48,13151,13151070309.0,1,1,1,1,355000.0,100.0,355000.0,89.0,42,1,0,1,4.125,100.0,3.9887640449438204,True,False,0.0
2019,549300SVKVT1EF3U0N48,13135,13135050609.0,2,1,1,1,205000.0,85.0,245000.0,,20%-<30%,1,0,9,4.25,85.0,,True,False,15.0
2019,549300SVKVT1EF3U0N48,13135,13135050606.0,3,1,1,1,225000.0,84.902,255000.0,83.0,37,1,72,1,4.375,84.902,2.710843373493976,True,False,15.097999999999999
2019,549300SVKVT1EF3U0N48,13067,13067030312.0,1,1,1,1,335000.0,68.247,485000.0,110.0,20%-<30%,1,72,3,3.375,68.247,3.0454545454545454,True,False,31.753
2019,549300SVKVT1EF3U0N48,13089,13089021605.0,1,1,1,1,455000.0,85.585,535000.0,174.0,45,1,6,9,3.625,85.585,2.6149425287356323,True,False,14.415000000000006
2019,549300SVKVT1EF3U0N48,13067,13067030335.0,2,1,1,1,295000.0,88.432,335000.0,134.0,30%-<36%,1,6,1,3.625,88.432,2.201492537313433,True,False,11.567999999999998
2019,549300SVKVT1EF3U0N48,13067,13067030502.0,1,1,1,1,215000.0,87.1,255000.0,90.0,<20%,1,72,9,3.875,87.1,2.388888888888889,True,False,12.900000000000006
2019,549300SVKVT1EF3U0N48,13223,13223120400.0,1,1,1,1,285000.0,89.841,315000.0,72.0,45,1,72,2,3.375,89.841,3.9583333333333335,True,False,10.159000000000006
2019,549300SVKVT1EF3U0N48,13135,13135050609.0,1,1,1,1,125000.0,48.396,265000.0,45.0,30%-<36%,1,6,1,3.625,48.396,2.7777777777777777,True,False,51.604
2019,549300L1DBFIJZI8LA40,13223,13223120103.0,1,1,1,1,305000.0,95.0,315000.0,209.0,20%-<30%,1,71,9,5.625,95.0,1.4593301435406698,True,False,5.0
2019,549300L1DBFIJZI8LA40,13067,13067030314.0,1,1,1,1,345000.0,95.0,365000.0,141.0,20%-<30%,1,71,3,4.5,95.0,2.4468085106382977,True,False,5.0
2019,549300L1DBFIJZI8LA40,13223,13223120103.0,2,1,1,1,265000.0,81.876,315000.0,89.0,50%-60%,1,71,2,4.125,81.876,2.9775280898876404,True,False,18.123999999999995
2019,549300L1DBFIJZI8LA40,13067,13067030506.0,2,1,1,1,235000.0,96.5,235000.0,51.0,50%-60%,1,71,1,4.625,96.5,4.607843137254902,True,False,3.5
2019,549300L1DBFIJZI8LA40,13067,13067030235.0,1,1,1,1,415000.0,73.451,565000.0,338.0,<20%,1,71,1,4.0,73.451,1.227810650887574,True,False,26.549000000000007
2019,549300L1DBFIJZI8LA40,13223,13223120204.0,2,1,1,1,385000.0,88.256,435000.0,95.0,47,1,71,1,4.125,88.256,4.052631578947368,True,False,11.744
2019,549300L1DBFIJZI8LA40,13121,13121011621.0,1,1,1,1,535000.0,75.0,715000.0,153.0,41,1,6,3,4.5,75.0,3.496732026143791,True,False,25.0
2019,549300L1DBFIJZI8LA40,13067,13067030901.0,1,1,1,3,65000.0,80.0,85000.0,177.0,46,1,71,3,6.25,80.0,0.3672316384180791,True,True,20.0
2019,549300L1DBFIJZI8LA40,13223,13223120503.0,3,1,1,1,225000.0,97.849,235000.0,71.0,38,1,71,9,4.0,97.849,3.1690140845070425,True,False,2.1509999999999962
2019,549300L1DBFIJZI8LA40,13067,13067030507.0,2,1,1,1,275000.0,96.5,285000.0,66.0,38,1,71,1,3.625,96.5,4.166666666666667,True,False,3.5
2019,549300L1DBFIJZI8LA40,13121,13121011618.0,3,1,1,1,535000.0,87.213,615000.0,113.0,50%-60%,1,71,2,3.25,87.213,4.734513274336283,True,False,12.787000000000006
2019,549300L1DBFIJZI8LA40,13223,13223120102.0,1,1,1,1,135000.0,95.0,145000.0,49.0,30%-<36%,1,6,2,4.5,95.0,2.7551020408163267,True,False,5.0
2019,549300L1DBFIJZI8LA40,13067,13067031404.0,3,1,1,1,235000.0,100.0,235000.0,83.0,20%-<30%,1,71,2,4.0,100.0,2.8313253012048194,True,False,0.0
2019,549300L1DBFIJZI8LA40,13151,13151070402.0,3,1,1,1,195000.0,100.0,195000.0,50.0,49,1,71,3,5.125,100.0,3.9,True,False,0.0
2019,549300L1DBFIJZI8LA40,13135,13135050730.0,1,1,1,1,175000.0,80.0,225000.0,95.0,43,1,6,2,4.875,80.0,1.8421052631578947,True,False,20.0
2019,549300L1DBFIJZI8LA40,13135,13135050108.0,2,1,1,1,185000.0,95.0,195000.0,47.0,50%-60%,1,71,2,4.5,95.0,3.9361702127659575,True,False,5.0
2019,549300L1DBFIJZI8LA40,13135,13135050728.0,1,1,1,1,225000.0,80.0,285000.0,119.0,20%-<30%,1,71,2,3.875,80.0,1.8907563025210083,True,False,20.0
2019,549300L1DBFIJZI8LA40,13151,13151070203.0,1,1,1,1,205000.0,80.0,255000.0,106.0,30%-<36%,1,6,9,4.5,80.0,1.9339622641509433,True,False,20.0
2019,549300L1DBFIJZI8LA40,13067,13067030219.0,2,1,1,1,235000.0,96.5,235000.0,144.0,20%-<30%,1,71,2,4.375,96.5,1.6319444444444444,True,False,3.5
2019,549300L1DBFIJZI8LA40,13151,13151070203.0,2,1,1,1,135000.0,96.5,135000.0,70.0,44,1,71,3,5.0,96.5,1.9285714285714286,True,False,3.5
2019,549300L1DBFIJZI8LA40,13135,13135050543.0,2,1,1,1,265000.0,95.0,275000.0,76.0,44,1,71,2,4.5,95.0,3.486842105263158,True,False,5.0
2019,549300L1DBFIJZI8LA40,13135,13135050608.0,1,1,1,1,255000.0,80.0,315000.0,99.0,37,1,6,9,4.5,80.0,2.5757575757575757,True,False,20.0
2019,549300L1DBFIJZI8LA40,13151,13151070309.0,2,1,1,1,195000.0,96.5,195000.0,93.0,40,1,71,3,4.625,96.5,2.096774193548387,True,False,3.5
2019,549300L1DBFIJZI8LA40,13067,13067031307.0,1,1,1,1,155000.0,95.0,165000.0,52.0,44,1,6,9,4.125,95.0,2.980769230769231,True,False,5.0
2019,549300L1DBFIJZI8LA40,13121,13121009101.0,1,1,1,1,215000.0,91.489,235000.0,80.0,48,1,1,3,3.875,91.489,2.6875,True,False,8.510999999999996
2019,549300L1DBFIJZI8LA40,13135,13135050721.0,2,1,1,1,205000.0,91.111,225000.0,56.0,50%-60%,1,71,3,3.5,91.111,3.6607142857142856,True,False,8.888999999999996
2019,549300L1DBFIJZI8LA40,13151,13151070203.0,2,1,1,1,245000.0,85.0,285000.0,104.0,50%-60%,1,71,2,3.875,85.0,2.355769230769231,True,False,15.0
2019,549300L1DBFIJZI8LA40,13089,13089021102.0,1,1,1,1,475000.0,88.454,535000.0,168.0,20%-<30%,1,6,9,4.875,88.454,2.8273809523809526,True,False,11.546000000000006
2019,549300L1DBFIJZI8LA40,13067,13067030238.0,2,1,1,1,375000.0,96.5,385000.0,87.0,46,1,71,1,4.625,96.5,4.310344827586207,True,False,3.5
2019,549300L1DBFIJZI8LA40,13223,13223120302.0,3,1,1,1,255000.0,99.646,255000.0,66.0,39,1,71,1,4.625,99.646,3.8636363636363638,True,False,0.3539999999999992
2019,549300L1DBFIJZI8LA40,13067,13067030103.0,2,1,1,1,195000.0,96.5,205000.0,52.0,50%-60%,1,71,3,4.875,96.5,3.75,True,False,3.5
2019,549300L1DBFIJZI8LA40,13121,13121012300.0,2,1,1,1,265000.0,96.5,265000.0,60.0,48,1,71,3,4.5,96.5,4.416666666666667,True,False,3.5
2019,549300L1DBFIJZI8LA40,13135,13135050714.0,2,1,1,1,275000.0,96.5,275000.0,143.0,50%-60%,1,71,1,4.875,96.5,1.9230769230769231,True,False,3.5
2019,549300L1DBFIJZI8LA40,13063,13063040515.0,1,1,1,1,135000.0,95.0,145000.0,91.0,<20%,1,6,3,4.5,95.0,1.4835164835164836,True,False,5.0
2019,549300L1DBFIJZI8LA40,13067,13067031503.0,2,1,1,1,185000.0,96.5,185000.0,45.0,43,1,71,3,4.375,96.5,4.111111111111111,True,False,3.5
2019,549300L1DBFIJZI8LA40,13089,13089023101.0,1,1,1,1,235000.0,90.0,255000.0,68.0,30%-<36%,1,6,1,5.25,90.0,3.4558823529411766,True,False,10.0
2019,549300L1DBFIJZI8LA40,13223,13223120101.0,1,1,1,1,205000.0,72.569,285000.0,42.0,46,1,6,3,5.0,72.569,4.880952380952381,True,False,27.430999999999997
2019,549300L1DBFIJZI8LA40,13223,13223120103.0,3,1,1,1,195000.0,100.0,195000.0,79.0,37,1,6,3,4.625,100.0,2.4683544303797467,True,False,0.0
2019,549300L1DBFIJZI8LA40,13089,13089021806.0,1,1,1,1,235000.0,95.0,245000.0,131.0,46,1,6,3,4.75,95.0,1.7938931297709924,True,False,5.0
2019,549300L1DBFIJZI8LA40,13067,13067031309.0,3,1,1,1,205000.0,100.0,195000.0,93.0,50%-60%,1,71,1,4.625,100.0,2.204301075268817,True,False,0.0
2019,549300L1DBFIJZI8LA40,13089,13089023424.0,2,1,1,1,195000.0,96.5,195000.0,111.0,44,1,71,1,4.625,96.5,1.7567567567567568,True,False,3.5
2019,549300L1DBFIJZI8LA40,13121,13121003200.0,1,1,1,1,205000.0,72.077,285000.0,100.0,30%-<36%,1,71,2,4.625,72.077,2.05,True,False,27.923000000000002
2019,549300L1DBFIJZI8LA40,13135,13135050546.0,2,1,1,1,285000.0,96.5,295000.0,74.0,42,1,71,1,4.375,96.5,3.8513513513513513,True,False,3.5
2019,549300L1DBFIJZI8LA40,13135,13135050608.0,2,1,1,1,205000.0,95.0,215000.0,52.0,50%-60%,1,71,1,3.5,95.0,3.9423076923076925,True,False,5.0
2019,549300L1DBFIJZI8LA40,13067,13067030214.0,1,1,1,1,185000.0,97.0,185000.0,75.0,30%-<36%,1,71,3,5.125,97.0,2.466666666666667,True,False,3.0
2019,549300L1DBFIJZI8LA40,13067,13067031408.0,2,1,1,1,135000.0,96.5,135000.0,31.0,37,1,71,1,4.625,96.5,4.354838709677419,True,False,3.5
2019,549300L1DBFIJZI8LA40,13135,13135050543.0,1,1,1,1,295000.0,80.0,365000.0,52.0,45,1,6,2,4.125,80.0,5.673076923076923,True,False,20.0
2019,549300L1DBFIJZI8LA40,13223,13223120502.0,1,1,1,1,205000.0,97.0,215000.0,65.0,44,1,6,1,4.75,97.0,3.1538461538461537,True,False,3.0
2019,549300L1DBFIJZI8LA40,13121,13121006900.0,1,1,1,1,265000.0,97.0,275000.0,75.0,30%-<36%,1,6,9,4.25,97.0,3.533333333333333,True,False,3.0
